neighborhood,avg_sentiment,review_count,top_keywords
Adams,0.43771982489654376,10219,"ballard, everything, definitely, perfect, easy"
Alki,0.45093512316355183,10474,"beach, alki, everything, definitely, perfect"
Arbor Heights,0.4285802572893301,1431,"everything, definitely, loved, perfect, super"
Atlantic,0.4217133938163197,8084,"definitely, everything, easy, close, super"
Belltown,0.450007413654611,38153,"space, everything, walking, perfect, definitely"
Bitter Lake,0.40214310812429205,1484,"everything, definitely, perfect, comfortable, recommend"
Briarcliff,0.4656844847513,610,"beautiful, neighborhood, perfect, everything, easy"
Brighton,0.41953980863940465,4469,"everything, definitely, close, easy, light"
Broadview,0.4139542672254531,1340,"everything, quiet, perfect, definitely, beautiful"
Broadway,0.43728786760463056,35875,"everything, easy, definitely, perfect, close"
Bryant,0.4069391430520389,2387,"everything, easy, close, comfortable, definitely"
Cedar Park,0.41134037245343025,1575,"everything, definitely, quiet, comfortable, easy"
Central Business District,0.44952991254527414,10012,"everything, definitely, perfect, pike, close"
Columbia City,0.41052775550807413,9155,"everything, easy, definitely, close, light"
Crown Hill,0.41586619918696593,2748,"everything, definitely, flor, recommend, comfortable"
Dunlap,0.40628029398279125,1692,"everything, close, definitely, easy, perfect"
East Queen Anne,0.4389504915952598,13702,"everything, space, definitely, perfect, easy"
Eastlake,0.4417344673507553,5596,"everything, easy, view, definitely, space"
Fairmount Park,0.43546063762943693,4958,"west, everything, definitely, seattle., easy"
Fauntleroy,0.4298161265656758,2469,"everything, beautiful, perfect, comfortable, definitely"
First Hill,0.41763940734012533,10771,"everything, easy, walk, close, walking"
Fremont,0.43302560387092376,28140,"everything, easy, definitely, fremont, perfect"
Gatewood,0.4235097649997185,4186,"everything, definitely, beautiful, perfect, comfortable"
Genesee,0.44186065284714143,3783,"west, everything, definitely, easy, seattle."
Georgetown,0.40538267591797517,3582,"angielena, everything, lee, definitely, super"
Green Lake,0.41900386608906354,12116,"green, lake, everything, easy, definitely"
Greenwood,0.4164039649696733,10603,"everything, definitely, space, comfortable, easy"
Haller Lake,0.4022588123942282,2778,"everything, easy, quiet, definitely, comfortable"
Harrison/Denny-Blaine,0.4141887002700719,1854,"everything, definitely, comfortable, neighborhood, close"
High Point,0.42569776825854927,1014,"everything, definitely, beautiful, comfortable, perfect"
Highland Park,0.411461869668766,2299,"everything, definitely, easy, recommend, fabio"
Holly Park,0.39140682624622253,19,"aliza, even, hosts, city, peaceful"
Industrial District,0.43366215049175655,105,"hobie, close, loft, walk, space"
Interbay,0.4337137895595617,1781,"everything, definitely, close, perfect, cottage"
International District,0.36902887283855046,2767,"hotel, dirk, close, everything, definitely"
Laurelhurst,0.4415123054178768,1931,"beautiful, neighborhood, comfortable, definitely, easy"
Lawton Park,0.42183299296156085,4845,"everything, definitely, easy, perfect, quiet"
Leschi,0.41905019034732294,3454,"everything, definitely, perfect, recommend, beautiful"
Lower Queen Anne,0.4571209459985004,9855,"space, definitely, everything, perfect, view"
Loyal Heights,0.4246476200119596,7513,"everything, definitely, space, perfect, easy"
Madison Park,0.4365831041039585,1174,"neighborhood, madison, lene, everything, easy"
Madrona,0.42404123446317066,3786,"phil, everything, definitely, recommend, perfect"
Mann,0.4231870674679678,9275,"everything, easy, definitely, close, space"
Maple Leaf,0.41350853366929846,4211,"everything, definitely, easy, space, comfortable"
Matthews Beach,0.4246530111946857,2498,"everything, beautiful, definitely, loved, recommend"
Meadowbrook,0.41315794260262334,445,"quiet, perfect, comfortable, definitely, everything"
Mid-Beacon Hill,0.41466561752328757,4630,"everything, definitely, easy, close, space"
Minor,0.4327134214031263,18319,"everything, definitely, easy, close, perfect"
